target_pkg,object_name,index,foreign_pkg,foreign_object,foreign_src_file,foreign_src_line_start,foreign_src_line_end,call_text
ggplot2,standardise_aes_names,5,ggplot2,discrete_scale,R/scale-.r,634,670,standardise_aes_names(aesthetics)
ggplot2,standardise_aes_names,5,ggplot2,continuous_scale,R/scale-.r,562,606,standardise_aes_names(aesthetics)
ggplot2,standardise_aes_names,5,ggplot2,rename_aes,R/aes.r,162,172,standardise_aes_names(names(x))
ggplot2,find_panel,6,ggplot2,ggplot_gtable.ggplot_built,R/plot-build.r,162,364,find_panel(plot_table)
ggplot2,facet_wrap,7,ggplot2,qplot,R/quick-plot.r,62,161,facet_wrap(facets)
ggplot2,facet_wrap,7,ggplot2,quickplot,R/quick-plot.r,62,161,facet_wrap(facets)
ggplot2,aes_q,10,ggplot2,borders,R/fortify-map.r,130,135,"aes_(~long, ~lat, group = ~group)"
ggplot2,labeller,12,ggplot2,build_strip,R/labeller.r,486,566,labeller(label_df)
ggplot2,ggplot_add,14,ggplot2,add_ggplot,R/plot-construction.r,65,72,"ggplot_add(object, p, objectname)"
ggplot2,merge_element,23,ggplot2,add_theme,R/theme.r,429,461,"merge_element(y, x)"
ggplot2,geom_polygon,37,ggplot2,borders,R/fortify-map.r,130,135,"geom_polygon(aes_(~long, ~lat, group = ~group), data = df, fill = fill, 
    colour = colour, ..., inherit.aes = FALSE)"
ggplot2,scale_colour_viridis_c,43,ggplot2,scale_colour_continuous,R/scale-colour.r,26,34,scale_colour_viridis_c(...)
ggplot2,scale_colour_viridis_c,43,ggplot2,scale_color_continuous,R/scale-colour.r,26,34,scale_colour_viridis_c(...)
ggplot2,scale_color_gradient,45,ggplot2,scale_colour_continuous,R/scale-colour.r,26,34,scale_colour_gradient(...)
ggplot2,scale_color_gradient,45,ggplot2,scale_color_continuous,R/scale-colour.r,26,34,scale_colour_gradient(...)
ggplot2,ggtitle,61,ggplot2,qplot,R/quick-plot.r,62,161,ggtitle(main)
ggplot2,ggtitle,61,ggplot2,quickplot,R/quick-plot.r,62,161,ggtitle(main)
ggplot2,waiver,67,ggplot2,fortify.NULL,R/fortify.r,26,26,waiver()
ggplot2,theme_get,69,ggplot2,theme_update,R/theme-current.R,88,90,theme_get()
ggplot2,theme_get,69,ggplot2,update_theme,R/theme.r,486,509,theme_get()
ggplot2,theme_get,69,ggplot2,theme_replace,R/theme-current.R,94,96,theme_get()
ggplot2,fortify,74,ggplot2,layer,R/layer.r,65,160,fortify(data)
ggplot2,fortify,74,ggplot2,map_data,R/fortify-map.r,77,81,fortify(map_obj)
ggplot2,fortify,74,ggplot2,ggplot.default,R/plot.r,80,103,"fortify(data, ...)"
ggplot2,fortify,74,ggplot2,fortify.Lines,R/fortify-spatial.r,87,100,fortify(lines[[i]])
ggplot2,fortify,74,ggplot2,fortify.SpatialPolygonsDataFrame,R/fortify-spatial.r,24,39,fortify(unioned)
ggplot2,fortify,74,ggplot2,fortify.Polygons,R/fortify-spatial.r,51,64,fortify(subpolys[[model@plotOrder[i]]])
ggplot2,zeroGrob,93,ggplot2,element_grob.element_text,R/theme-elements.r,194,219,zeroGrob()
ggplot2,zeroGrob,93,ggplot2,guide_gengrob.legend,R/guide-legend.r,301,717,zeroGrob()
ggplot2,zeroGrob,93,ggplot2,title_spec,R/margins.R,39,91,zeroGrob()
ggplot2,zeroGrob,93,ggplot2,render_axis,R/coord-.r,159,167,zeroGrob()
ggplot2,zeroGrob,93,ggplot2,guide_gengrob.colorbar,R/guide-colorbar.r,262,546,zeroGrob()
ggplot2,zeroGrob,93,ggplot2,guide_gengrob.colorbar,R/guide-colorbar.r,262,546,zeroGrob()
ggplot2,zeroGrob,93,ggplot2,element_render,R/theme-elements.r,144,155,zeroGrob()
ggplot2,zeroGrob,93,ggplot2,element_grob.element_blank,R/theme-elements.r,177,177,zeroGrob()
ggplot2,zeroGrob,93,ggplot2,titleGrob,R/margins.R,176,204,zeroGrob()
ggplot2,zeroGrob,93,ggplot2,ggplot_gtable.ggplot_built,R/plot-build.r,162,364,zeroGrob()
